"Reference","Value","Qty","Mouser_PN","Footprint","Datasheet","DNP"
"C1,C3,C8,C32","10u_25v","4","80-T495B106K25ATE750","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B","~",""
"C2,C4,C10,C26,C27,C28,C29,C30,C31,C33","1u","10","80-C0805C105M3R","Capacitor_SMD:C_0805_2012Metric","~",""
"C5,C6,C7,C9,C12,C14,C16,C17,C18,C19","10u","10","80-C0805C106K4PAC","Capacitor_SMD:C_0805_2012Metric","~",""
"C11,C13,C22,C23,C34","0u1","5","80-C0805C104M5R","Capacitor_SMD:C_0805_2012Metric","~",""
"C15","1n2","1","80-C0805C122K5R","Capacitor_SMD:C_0805_2012Metric","~",""
"C20","100u","1","581-TPSB107K010R0400","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B","293D107X96R3B2TE3 ",""
"C24,C25","20p","2","80-C0805C200F5G","Capacitor_SMD:C_0805_2012Metric","~",""
"D1,D2,D3,D10","red","4","710-150080RS75000","LED_SMD:LED_0805_2012Metric","~",""
"D4,D5,D6,D7","27V","4","863-MMSZ27T1G","Diode_SMD:D_SOD-123","~",""
"D8","NUP2105L","1","863-NUP2105LT1G","Package_TO_SOT_SMD:SOT-23","http://www.onsemi.com/pub_link/Collateral/NUP2105L-D.PDF",""
"J1","FFC2B28-40-G","1","640-FFC2B28-40-G","user:GCT_FFC2B28-40-G","",""
"J2","CANbus","1"," 571-DTP10-4P","user:DT13-4P","~",""
"J3","uUSB","1","640-USB31403001701C","user:GCT_USB3140-30-0170-1-C_REVE1","~",""
"J4","CM4-A","1","798-DF40C100DS0.4V51","N/A","~",""
"J6","CM4-B","1","798-DF40C100DS0.4V51","N/A","~",""
"J7","HDMI_ribbon","1","640-540-D0152A4064T","N/A","~",""
"L1","3h3","1","652-SRN6045-3R3Y","Inductor_SMD:L_Bourns_SRN6045TA","SRN6045TA-3R3Y",""
"Q1,Q2,Q3","DMG2307","3","621-DMG2307L-7","Package_TO_SOT_SMD:SOT-23","~",""
"R2","2k7","1","71-CRCW0805-2.7K-E3","Resistor_SMD:R_0805_2012Metric","~",""
"R3","1k","1","71-CRCW0805-1.0K-E3","Resistor_SMD:R_0805_2012Metric","~",""
"R4,R27","660r","2","71-CRCW0805-665-E3 ","Resistor_SMD:R_0805_2012Metric","~",""
"R5,R6,R7,R8,R14,R18,R19,R20,R24,R25,R26","10k","11","71-CRCW0805-10K-E3","Resistor_SMD:R_0805_2012Metric","~",""
"R9","10r","1","71-CRCW0805-10-E3","Resistor_SMD:R_0805_2012Metric","~",""
"R10","20k 1%","1","71-CRCW0805-20K-E3","Resistor_SMD:R_0805_2012Metric","~",""
"R11","12k 1%","1","71-CRCW0805-12K","Resistor_SMD:R_0805_2012Metric","~",""
"R12,R28,R29","2k2 1%","3","71-CRCW0805-2.2K-E3","Resistor_SMD:R_0805_2012Metric","~",""
"R13","4k7","1","71-CRCW0805-4.7K-E3","Resistor_SMD:R_0805_2012Metric","~",""
"R15,R16,R17,R21,R22,R23","27k","6","71-CRCW0805-27K-E3","Resistor_SMD:R_0805_2012Metric","~",""
"SW1,SW2,SW3,SW4,SW5,SW6","SW_Push","6"," 653-B3F-5050","user:SW_B3F-4050_OMR","~",""
"SW7","nBoot","1","774-219G-2ESF","Button_Switch_SMD:SW_DIP_SPSTx01_Slide_6.7x4.1mm_W8.61mm_P2.54mm_LowProfile","~",""
"TP1","TP_5V","1","N/A","TestPoint:TestPoint_Pad_D1.0mm","~",""
"TP2","TP_12V","1","N/A","TestPoint:TestPoint_Pad_D1.0mm","~",""
"TP3","TP_GND","1","N/A","TestPoint:TestPoint_Pad_D1.0mm","~",""
"TP4","TP_3v3","1","N/A","TestPoint:TestPoint_Pad_D1.0mm","~",""
"U1","CM4102008","1","N/A","user:MODULE_CM4102008","",""
"U2","FSUSB42MUX","1"," 512-FSUSB42MUX","Package_SO:MSOP-10_3x3mm_P0.5mm","https://www.onsemi.com/pub/Collateral/FSUSB42-D.PDF",""
"U3","AP64501SP-13","1","621-AP64501SP-13","user:SOIC127P600X170-9N","",""
"U4,U5","TPD8S009DSMR","2"," 595-TPD8S009DSMR","user:IC_TPD8S009DSMR","",""
"U6","TPD2EUSB30","1","595-TPD2EUSB30DRTR","Package_TO_SOT_SMD:Texas_DRT-3","http://www.ti.com/lit/ds/symlink/tpd2eusb30a.pdf",""
"U7","SN65HVD234","1","595-SN65HVD234DR","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/sn65hvd234.pdf",""
"U8","MCP2515-xST","1","579-MCP2515T-E/ST","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","http://ww1.microchip.com/downloads/en/DeviceDoc/21801e.pdf",""
"U9","BD33FC0FP","1","755-BD33FC0FP-E2","Package_TO_SOT_SMD:TO-252-2","https://fscdn.rohm.com/en/products/databook/datasheet/ic/power/linear_regulator/bdxxfc0wefj-e.pdf",""
"Y1","16Mhz","1","732-FA-23816B-C3","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","~",""
